,InputLen,InferenceLatency,OutputLen
77,30,76.69629697920755,12
78,9,57.41639499319717,9
79,14,152.69423299469054,24
80,9,107.8864480368793,17
81,4,31.83150698896497,5
82,7,198.39166896417737,31
83,12,89.4124069600366,14
84,46,76.92105800379068,12
85,23,70.8330679917708,11
86,19,70.09141199523583,11
87,10,82.69909501541406,13
88,8,76.38364098966122,12
89,10,146.98034594766796,23
90,7,57.114111026749015,9
91,10,76.06625702464953,12
92,9,76.47608499974012,12
93,18,70.00357401557267,11
94,7,133.68672400247306,21
95,3,126.8761350074783,20
96,8,51.232588943094015,8
97,8,161.90836596069855,25
98,3,101.6000629751943,16
99,13,95.48365604132414,15
100,9,120.95945799956098,19
101,3,19.15395795367658,3
102,25,146.77036995999515,23
103,14,107.95563302235678,17
104,42,89.61295202607289,14
105,6,69.89920197520405,11
106,6,31.80201002396643,5
107,51,34.61194701958448,5
108,6,38.5189070366323,6
109,4,146.08144102385268,23
110,9,76.39736402779818,12
111,10,76.15365699166432,12
112,8,133.57596198329702,21
113,6,50.89126399252564,8
114,4,57.16181796742603,9
115,5,25.676427991129454,4
116,6,31.87238896498457,5
117,46,77.06156600033864,12
118,6,63.61157901119441,10
119,5,158.8337259599939,24
120,31,63.90195502899587,10
121,5,25.670874980278317,4
122,3,82.37045898567885,13
123,4,82.2007039678283,13
124,5,25.84380697226152,4
125,15,57.46074405033141,9
126,7,159.05596496304497,25
127,40,70.33467903966084,11
128,16,153.07223104173318,24
129,8,76.3777180109173,12
130,6,45.66472995793447,7
131,10,57.78219498461112,9
132,10,71.66699797380716,11
133,9,153.73457100940868,24
134,17,120.75773702235892,19
135,16,38.65466301795095,6
136,9,50.92305497964844,8
137,22,95.9036480053328,15
138,19,44.90583302685991,7
139,9,89.25329800695181,14
140,9,50.90058402856812,8
141,5,185.9455750091001,29
142,9,82.77943101711571,13
143,5,88.9913949649781,14
144,2,75.98360296105966,12
145,12,101.87979700276628,16
146,7,153.14230497460812,24
147,3,139.5390270045027,22
148,14,57.62449000030756,9
149,14,192.02572701033205,30
150,11,69.9497300083749,11
151,9,31.908346980344504,5
152,24,70.74044196633622,11
154,14,51.264783018268645,8
155,5,31.8054539966397,5
156,5,57.31280194595456,9
157,3,171.51045700302348,27
158,6,57.22273199353367,9
159,32,121.19273096323012,19
160,15,133.89082998037338,21
161,5,88.96482997806743,14
162,11,147.3481340217404,23
163,8,82.64298003632575,13
164,4,146.41612902050838,23
165,10,127.4870130000636,20
166,7,152.4327749502845,24
167,8,83.49326899042353,13
168,12,95.50367697374897,15
169,13,77.04997400287539,12
170,39,77.83360499888659,12
171,5,82.67545403214172,13
172,19,44.95089000556618,7
173,9,50.83723895950243,8
174,6,38.14165503717959,6
175,8,57.12782102636993,9
176,7,177.76550899725407,28
177,9,158.85635401355103,25
178,16,57.441886980086565,9
179,6,89.1630849801004,14
180,8,63.58454597648233,10
181,13,51.97019997285679,8
182,7,152.71380898775533,24
183,12,70.22946898359805,11
184,12,57.45807202765718,9
185,28,114.63951098266988,18
186,11,70.35306299803779,11
187,7,44.61898602312431,7
188,3,108.03486400982364,17
189,16,51.19762598769739,8
190,8,44.508505961857736,7
191,10,95.01131699653342,15
192,18,77.52249902114272,12
193,25,95.86092899553478,15
194,14,95.59659997466952,15
195,5,44.67325995210558,7
196,10,152.4782829801552,24
197,18,70.24293200811371,11
198,11,89.19596398482099,14
199,3,127.20976100536063,20
200,12,32.180588983464986,5
201,4,25.40025697089732,4
202,4,129.99197002500296,20
203,4,57.00938502559438,9
204,13,70.22239902289584,11
205,8,69.91783698322251,11
206,5,44.671791954897344,7
207,16,83.15659302752465,13
208,6,133.49166000261903,21
209,8,70.36659197183326,11
210,4,95.24032601621002,15
211,4,69.8477840051055,11
212,12,82.8638729872182,13
213,5,57.44934402173385,9
214,30,58.03818901767954,9
215,18,143.58988701133055,22
216,7,76.87078102026135,12
217,51,115.1468639727682,18
218,3,108.28834294807166,17
219,25,45.15976499533281,7
220,42,70.40030602365732,11
221,8,139.81420401250944,22
222,5,25.62066499376669,4
223,23,64.33365703560412,10
224,9,31.92661900538951,5
225,12,76.41723402775824,12
226,9,146.66699204826728,23
227,28,76.99279900407419,12
228,17,84.07205797266215,13
229,9,126.72476301668212,20
230,10,76.67224097531289,12
231,7,152.21503598149866,24
232,47,71.08787394827232,11
233,5,31.882102019153532,5
234,11,70.19580097403377,11
235,6,51.016993005760014,8
236,6,101.56264499528334,16
237,8,38.27251901384443,6
238,6,31.81339503498748,5
239,25,115.24187901522964,18
240,7,121.04775797342882,19
241,9,45.66598200472072,7
242,7,152.5958229904063,24
243,4,107.7170089702122,17
244,8,50.938653002958745,8
245,20,159.11653300281614,25
246,12,76.71276602195576,12
247,28,70.26099204085767,11
248,8,19.159742980264127,3
249,5,76.29681995604187,12
250,3,83.10935099143535,13
251,26,64.20586805325001,10
252,16,102.01462602708489,16
253,6,58.211133000440896,9
254,5,152.7026029652916,24
255,5,146.60076098516583,23
256,32,57.7900999924168,9
257,18,101.90228500869124,16
258,10,70.22862799931318,11
259,3,133.32841702504084,21
260,24,108.86149300495164,17
261,3,82.43249100632966,13
262,15,108.49446605425328,17
263,20,96.40658897114918,15
264,17,76.91897999029607,12
265,21,70.13057701988146,11
266,4,50.78946700086817,8
267,7,50.94649601960555,8
268,25,77.12522597284988,12
269,8,95.31222004443408,15
270,19,57.77976504759863,9
271,9,44.65994599740952,7
272,4,139.52628802508116,22
273,3,114.28199999500066,18
274,6,31.84948797570541,5
275,18,64.08049404853955,10
276,8,89.16767698246986,14
277,23,77.66940299188718,12
278,11,64.23511897446588,10
279,7,57.30106303235516,9
280,8,31.836561975069344,5
281,33,108.95551298744977,17
282,9,31.89376596128568,5
283,3,50.60212197713554,8
284,6,108.996257011313,17
285,14,76.51410601101816,12
286,4,57.050736038945615,9
287,24,108.94547903444618,17
288,13,44.623800029512495,7
289,17,57.36337404232472,9
