Idx,InputLen,InferenceLatency,InferenceLatencyP99,Admitted,Deadline
51,29,749.2066959384829,1067.8900449757896,3285.714285714286,3585.714285714286
52,8,668.4572140220553,1067.8900449757896,3333.3333333333335,3633.3333333333335
53,12,567.3103620065376,1067.8900449757896,3380.9523809523807,3680.9523809523807
54,42,691.3303979672492,1067.8900449757896,3428.5714285714284,3728.5714285714284
55,3,633.4207119653001,1067.8900449757896,3476.190476190476,3776.190476190476
56,14,470.74393392540514,1067.8900449757896,3523.809523809524,3823.809523809524
57,43,749.9678010353819,1067.8900449757896,3571.4285714285716,3871.4285714285716
58,17,818.4884140500799,1067.8900449757896,3619.0476190476193,3919.0476190476193
59,6,726.8934929743409,1067.8900449757896,3666.666666666667,3966.666666666667
60,10,648.1107180006802,1067.8900449757896,3714.285714285714,4014.285714285714
61,5,828.0303339706734,1067.8900449757896,3761.904761904762,4061.904761904762
62,15,631.2551320297644,1067.8900449757896,3809.5238095238096,4109.523809523809
63,18,685.627824976109,1067.8900449757896,3857.142857142857,4157.142857142857
64,47,1012.8511149669066,1067.8900449757896,3904.7619047619046,4204.761904761905
65,5,604.1672300780192,1067.8900449757896,3952.3809523809523,4252.380952380952
66,16,660.0502069341019,1067.8900449757896,4000.0,4300.0
67,19,568.0195390013978,1067.8900449757896,4033.3333333333335,4333.333333333334
68,11,671.6906900983304,1067.8900449757896,4066.6666666666665,4366.666666666666
69,30,746.1917740292847,1067.8900449757896,4100.0,4400.0
70,15,480.6041580159217,1067.8900449757896,4133.333333333333,4433.333333333333
71,39,779.757815063931,1067.8900449757896,4166.666666666667,4466.666666666667
72,26,828.0920420074835,1067.8900449757896,4200.0,4500.0
73,13,639.2727489583194,1067.8900449757896,4233.333333333333,4533.333333333333
74,10,639.713407959789,1067.8900449757896,4266.666666666667,4566.666666666667
75,17,484.0578699950129,1067.8900449757896,4300.0,4600.0
76,14,696.3923290604725,1067.8900449757896,4333.333333333333,4633.333333333333
77,19,599.3766519241035,1067.8900449757896,4366.666666666667,4666.666666666667
78,10,685.5213739909232,1067.8900449757896,4400.0,4700.0
79,14,576.062464970164,1067.8900449757896,4433.333333333333,4733.333333333333
80,14,584.9573699524626,1067.8900449757896,4466.666666666667,4766.666666666667
81,5,902.4139180546626,1067.8900449757896,4500.0,4800.0
82,14,585.6055339099839,1067.8900449757896,4533.333333333333,4833.333333333333
83,8,661.2246150616556,1067.8900449757896,4566.666666666667,4866.666666666667
84,3,737.0707590598613,1067.8900449757896,4600.0,4900.0
85,3,849.9098950996995,1067.8900449757896,4633.333333333333,4933.333333333333
