BucketIdx,BucketStart,BucketEnd,BinIdx,BinStart,BinEnd,BinValue
5,438,458,9,63.418923188291956,67.5689024903113,4
6,458,460,0,39.8129288200289,42.418236966012046,2
6,458,460,1,42.418236966012046,45.02354511199519,2
6,458,460,2,45.02354511199519,47.628853257978335,0
6,458,460,3,47.628853257978335,50.23416140396148,0
6,458,460,4,50.23416140396148,52.839469549944624,1
6,458,460,5,52.839469549944624,55.44477769592777,0
6,458,460,6,55.44477769592777,58.050085841910914,1
6,458,460,7,58.050085841910914,60.65539398789406,0
6,458,460,8,60.65539398789406,63.2607021338772,1
6,458,460,9,63.2607021338772,65.86601027986035,1
7,460,466,0,25.802906170138158,29.60927449312294,3
7,460,466,1,29.60927449312294,33.41564281610772,2
7,460,466,2,33.41564281610772,37.2220111390925,3
7,460,466,3,37.2220111390925,41.02837946207728,7
7,460,466,4,41.02837946207728,44.83474778506206,3
7,460,466,5,44.83474778506206,48.641116108046845,2
7,460,466,6,48.641116108046845,52.447484431031626,2
7,460,466,7,52.447484431031626,56.25385275401641,0
7,460,466,8,56.25385275401641,60.06022107700119,0
7,460,466,9,60.06022107700119,63.86658939998597,3
8,466,468,0,18.59078860026784,21.841097684227858,1
8,466,468,1,21.841097684227858,25.091406768187877,3
8,466,468,2,25.091406768187877,28.341715852147896,0
8,466,468,3,28.341715852147896,31.592024936107915,0
8,466,468,4,31.592024936107915,34.84233402006794,0
8,466,468,5,34.84233402006794,38.09264310402796,0
8,466,468,6,38.09264310402796,41.342952187987976,1
8,466,468,7,41.342952187987976,44.593261271947995,0
8,466,468,8,44.593261271947995,47.843570355908014,0
8,466,468,9,47.843570355908014,51.09387943986803,1
9,468,469,0,43.59462591994088,46.73305077996338,1
9,468,469,1,46.73305077996338,49.871475639985874,0
9,468,469,2,49.871475639985874,53.00990050000837,0
9,468,469,3,53.00990050000837,56.14832536003087,0
9,468,469,4,56.14832536003087,59.286750220053364,0
9,468,469,5,59.286750220053364,62.42517508007586,0
9,468,469,6,62.42517508007586,65.56359994009836,0
9,468,469,7,65.56359994009836,68.70202480012085,0
9,468,469,8,68.70202480012085,71.84044966014335,1
9,468,469,9,71.84044966014335,74.97887452016585,1
10,469,470,0,41.02443640003912,41.07741261704359,1
10,469,470,1,41.07741261704359,41.13038883404806,0
10,469,470,2,41.13038883404806,41.18336505105253,0
10,469,470,3,41.18336505105253,41.236341268057004,0
10,469,470,4,41.236341268057004,41.289317485061474,0
10,469,470,5,41.289317485061474,41.342293702065945,0
10,469,470,6,41.342293702065945,41.395269919070415,0
10,469,470,7,41.395269919070415,41.448246136074886,0
10,469,470,8,41.448246136074886,41.501222353079356,0
